time 2018-08-23 20:43:03
row  15
col  15
robRow  9 4 1 12 13
robCol  13 0 11 9 0
robReachRowLst  9 7 6 11 7 14 13 12 0 1 0 3 2 1 8 5 4 6 5 11 10 7 6 14 13 0 1 3 2 9 8 5 4 10 9 6 11 7 12 14 13 0 3 1 8 3 2 9 5 10 6 14 13 12 13 0 3 2 8 4 2 9 5 10 7 6 12 14 12 1 0 2 1 8 10 9 5 11 10 7 6 12 11 14 0 1 3 2 8 5 4 10 6 5 11 7 14 12 14 13 0 1 8 4 2 9 8 5 6 11 14 12 13 3 1 8 4 9 5 10 12 11 7 14 13 12 1 0 3 2 8 4 2 9 6 5 11 10 7 12 11 7 14 1 0 3 2 8 5 10 9 6 5 11 10 7 14 14 13 0 3 1 8 4 3 2 8 5 4 10 6 7 14 12 13 0 3 1 8 4 2 9 10 6 7 14 13 0 3 2 8 4 9 5 11 10
robReachColLst  13 3 9 11 12 4 4 12 7 6 10 7 5 11 5 8 0 7 5 5 7 6 10 1 7 4 1 2 6 14 2 11 5 13 3 0 0 5 11 2 10 1 12 12 12 1 11 9 14 14 13 8 0 8 13 14 11 1 9 12 12 4 1 3 2 14 2 5 13 5 11 2 10 6 9 7 4 4 4 1 11 7 9 6 5 0 5 7 3 10 6 10 1 7 3 4 12 4 3 9 2 3 13 8 8 8 0 13 2 14 9 9 12 10 14 10 13 11 0 0 3 13 14 10 2 14 4 12 9 3 7 2 14 6 5 3 7 5 0 0 8 13 7 7 9 4 4 4 9 11 1 6 6 2 6 7 13 0 8 3 14 2 14 9 3 9 1 12 4 12 3 10 14 10 11 0 13 13 11 14 10 10 1 12 9 11 14 13 8 0 8 3 5 2 6 2
robUnReachRowLst  0 0 1 1 2 3 3 4 4 4 4 6 6 7 7 9 9 9 10 11 11 11 12 12 12 13 13 13 13
robUnReachColLst  6 8 8 9 13 0 6 1 7 10 11 4 8 8 11 0 2 12 8 1 10 12 1 5 6 1 3 5 6
grid  1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
obRow  0 0 1 1 2 3 3 4 4 4 4 6 6 7 7 9 9 9 10 11 11 11 12 12 12 13 13 13 13
obCol  6 8 8 9 13 0 6 1 7 10 11 4 8 8 11 0 2 12 8 1 10 12 1 5 6 1 3 5 6
