time 2018-08-07 16:59:05
row  14
col  16
robRow  8
robCol  8
robReachRowLst  7 6 12 7 13 12 1 0 2 1 8 5 4 10 9 6 5 11 10 7 6 12 13 0 8 4 2 4 10 9 6 7 12 13 0 3 1 8 4 3 2 9 6 11 7 13 12 13 0 3 1 8 4 2 9 5 7 6 12 11 7 13 12 3 2 1 8 10 9 6 5 11 10 7 6 12 11 13 0 1 3 2 8 4 10 9 6 5 7 12 13 0 3 1 8 4 3 2 9 8 5 10 11 7 12 13 0 3 8 4 2 9 5 10 6 12 11 7 13 12 13 1 0 3 2 1 8 9 6 11 10 6 12 11 7 13 0 1 0 3 2 8 5 4 10 9 6 5 11 10 12 13 0 3 1 4 3 9 8 5 10 6 11 7 13 0 3 1 4 2 9 5 10 7 13 12 13 3 8 4 2 9 11 10
robReachColLst  3 9 1 12 4 12 6 10 5 11 5 8 0 8 0 7 5 5 7 6 10 6 7 4 15 10 6 5 13 3 0 5 11 10 1 12 12 12 15 1 11 9 13 15 8 0 8 13 14 11 15 9 12 12 4 1 2 14 2 10 15 3 13 6 2 10 6 9 7 4 4 4 4 1 11 7 9 6 5 0 5 7 3 6 10 2 1 7 4 4 9 2 15 3 13 8 0 8 8 0 13 15 14 11 9 12 15 10 10 13 13 11 0 0 15 3 13 14 2 14 15 4 12 9 3 9 7 6 5 7 5 8 0 8 13 5 6 7 9 4 4 4 9 7 11 1 6 6 2 6 5 8 3 14 2 9 3 15 1 12 12 3 1 10 11 0 13 13 14 10 10 15 1 9 1 15 14 8 8 3 15 5 6 2
robUnReachRowLst  0 0 0 0 1 1 1 1 2 2 2 2 3 3 4 4 4 4 5 5 5 5 5 6 6 7 7 8 8 8 9 9 9 10 10 11 11 11 11 12
robUnReachColLst  7 8 11 13 1 5 8 14 0 1 9 14 2 7 1 2 4 11 2 3 10 11 14 2 12 0 7 2 11 14 12 13 14 3 14 0 3 11 12 10
grid  1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
obRow  0 0 0 0 1 1 1 1 2 2 2 2 3 3 4 4 4 4 5 5 5 5 5 6 6 7 7 8 8 8 9 9 9 10 10 11 11 11 11 12
obCol  7 8 11 13 1 5 8 14 0 1 9 14 2 7 1 2 4 11 2 3 10 11 14 2 12 0 7 2 11 14 12 13 14 3 14 0 3 11 12 10
